corp_code,기업명,사업연도,대사,신뢰도,사용보고서,본문무형자산,주석기말,합산표시,손상액,상각액
00301112,(주)삼화네트웍스,2015,성공,확정,원본,4225276600.0,4225276600.0,False,14507920.0,
00301112,(주)삼화네트웍스,2016,성공,확정,원본,1118531960.0,1118531960.0,False,0.0,
00301112,(주)삼화네트웍스,2017,성공,확정,원본,635708031.0,635708031.0,False,0.0,
00301112,(주)삼화네트웍스,2018,성공,확정,원본,4512199862.0,4512199862.0,False,0.0,
00301112,(주)삼화네트웍스,2019,성공,확정,원본,9944210883.0,9944210883.0,False,0.0,
00301112,(주)삼화네트웍스,2020,성공,확정,원본,335543800.0,335543800.0,False,0.0,
00301112,(주)삼화네트웍스,2021,성공,보통,원본,335543800.0,335543800.0,False,0.0,
00301112,(주)삼화네트웍스,2022,실패,,,,,,,
00301112,(주)삼화네트웍스,2023,실패,,,,,,,
00301112,(주)삼화네트웍스,2024,실패,,,,,,,
00301112,(주)삼화네트웍스,2025,실패,,,,,,,
00613318,(주)와이지엔터테인먼트,2015,성공,확정,원본,35867046101.0,35867046101.0,False,0.0,2478946676.0
00613318,(주)와이지엔터테인먼트,2016,성공,확정,원본,33201521932.0,33201521932.0,False,0.0,4422753849.0
00613318,(주)와이지엔터테인먼트,2017,성공,확정,원본,63102810862.0,63102810862.0,False,837196954.0,5890333261.0
00613318,(주)와이지엔터테인먼트,2018,성공,확정,정정,60675845141.0,60675845141.0,False,520547586.0,4393889918.0
00613318,(주)와이지엔터테인먼트,2019,성공,확정,원본,52321628699.0,52321628699.0,False,3651625964.0,3465920831.0
00613318,(주)와이지엔터테인먼트,2020,성공,확정,정정,46979110341.0,46979110341.0,False,2110112359.0,2013949219.0
00613318,(주)와이지엔터테인먼트,2021,성공,확정,원본,44469186264.0,44469186264.0,False,0.0,1355411584.0
00613318,(주)와이지엔터테인먼트,2022,성공,확정,정정,10853636441.0,10853636441.0,False,0.0,1216707246.0
00613318,(주)와이지엔터테인먼트,2023,성공,확정,정정,47082657725.0,47082657725.0,False,0.0,6327758964.0
00613318,(주)와이지엔터테인먼트,2024,성공,확정,원본,47382577696.0,47382577696.0,False,0.0,15423744925.0
00613318,(주)와이지엔터테인먼트,2025,성공,확정,원본,34692548888.0,34692548888.0,False,0.0,16351062730.0
00370006,(주)아이엠비씨,2015,성공,확정,원본,4124502567.0,4124503000.0,False,0.0,743379000.0
00370006,(주)아이엠비씨,2016,성공,확정,원본,5299408701.0,5299409000.0,False,0.0,1016543000.0
00370006,(주)아이엠비씨,2017,성공,확정,원본,7797409867.0,7797410000.0,False,138611000.0,2905710000.0
00370006,(주)아이엠비씨,2018,성공,확정,원본,4926914356.0,4926914000.0,False,843124000.0,3168320000.0
00370006,(주)아이엠비씨,2019,성공,확정,원본,3246528179.0,3246528000.0,False,147527000.0,1817018000.0
00370006,(주)아이엠비씨,2020,성공,확정,원본,3369105769.0,3369106000.0,False,74530000.0,669136000.0
00370006,(주)아이엠비씨,2021,성공,확정,원본,3112612943.0,3112613000.0,False,21407000.0,513157000.0
00370006,(주)아이엠비씨,2022,성공,확정,원본,3673403883.0,3673404000.0,False,92986000.0,534088000.0
