corp_code,기업명,사업연도,재무제표,자산총계,부채총계,자본총계,무형자산,영업권,재고자산,매출액,영업이익,당기순이익,영업활동현금흐름,대사,신뢰도,합산표시,손상액,상각액,직전재무제표,기준전환,무형비중,무형비중_중앙값,적용대상,상태
00200275,(주)와이티엔,2015,CFS,304515079681.0,126268505619.0,178246574062.0,20007412172.0,,438476024.0,117434969522.0,-5462736204.0,-3642659245.0,-18021859029.0,실패,,,,,,False,0.0657025333292496,0.06182386331126382,True,주석대사실패
00200275,(주)와이티엔,2016,CFS,312406624587.0,128121888370.0,184284736217.0,19314184456.0,,457730240.0,130755833604.0,1287064643.0,3465478245.0,15587649096.0,실패,,,,,CFS,False,0.06182386331126382,0.06182386331126382,True,주석대사실패
00200275,(주)와이티엔,2017,CFS,298989298187.0,108465258411.0,190524039776.0,18606336803.0,,438399239.0,131050998797.0,2158001336.0,4537489911.0,21332336362.0,실패,,,,,CFS,False,0.062230778545668365,0.06182386331126382,True,주석대사실패
00200275,(주)와이티엔,2018,CFS,285962213139.0,97846572067.0,188115641072.0,18134514021.0,,379134469.0,132360035619.0,862143078.0,690807090.0,15808599135.0,실패,,,,,CFS,False,0.06341577029334715,0.06182386331126382,True,주석대사실패
00200275,(주)와이티엔,2019,CFS,282069114250.0,96716693350.0,185352420900.0,19633344370.0,,756017321.0,130801036385.0,491889398.0,-3308954951.0,12716759231.0,실패,,,,,CFS,False,0.06960472940188275,0.06182386331126382,True,주석대사실패
00200275,(주)와이티엔,2020,CFS,298300105265.0,106330838945.0,191969266320.0,19583089381.0,,335955279.0,133102172088.0,2671990470.0,7999188999.0,23085234551.0,실패,,,,,CFS,False,0.06564895229789822,0.06182386331126382,True,주석대사실패
00200275,(주)와이티엔,2021,CFS,367976647090.0,126092948040.0,241883699050.0,19657733783.0,,397463791.0,145150366530.0,3368004839.0,51930646684.0,56053061464.0,실패,,,,,CFS,False,0.0534211448972524,0.06182386331126382,True,주석대사실패
00200275,(주)와이티엔,2022,OFS,360131506686.0,104834571113.0,255296935573.0,19810141591.0,,327783921.0,152191296037.0,5310356129.0,5514292781.0,5761472226.0,실패,,,,,CFS,True,0.05500807683642225,0.06182386331126382,True,주석대사실패
00200275,(주)와이티엔,2023,OFS,352767162709.0,109352836791.0,243414325918.0,19803442741.0,,135206553.0,130469560840.0,-9298901588.0,-4183934473.0,-1129373627.0,실패,,,,,OFS,False,0.056137432375858616,0.06182386331126382,True,주석대사실패
00200275,(주)와이티엔,2024,OFS,350893967406.0,128290969150.0,222602998256.0,19810695438.0,,118631291.0,131178008252.0,-26675495489.0,-18613552547.0,-2463093375.0,실패,,,,,OFS,False,0.05645778291502555,0.06182386331126382,True,주석대사실패
